Num_Acc,id_vehicule,fixed_obstacle ,movable_obstacle,initial_shock,maneuver,motor,occupants_public_transport
201900000078,138 306 393,0,2,1,1,1,0.0
201900000079,138 306 390,0,2,8,13,1,0.0
201900000079,138 306 391,0,2,7,17,1,0.0
201900000080,138 306 389,0,1,1,1,1,0.0
201900000081,138 306 388,13,0,1,14,1,0.0
201900000082,138 306 387,8,0,1,0,0,0.0
201900000083,138 306 384,0,0,4,1,1,0.0
201900000083,138 306 385,0,2,4,1,1,0.0
201900000083,138 306 386,0,2,1,1,1,0.0
201900000084,138 306 382,0,2,3,1,1,0.0
201900000084,138 306 383,0,2,1,21,1,0.0
201900000085,138 306 380,0,2,2,2,1,0.0
201900000085,138 306 381,0,2,3,2,1,0.0
201900000086,138 306 378,1,0,1,2,1,0.0
201900000086,138 306 379,0,0,4,23,1,0.0
201900000087,138 306 376,0,2,8,1,1,0.0
201900000087,138 306 377,0,2,1,1,1,0.0
201900000088,138 306 375,9,0,1,0,1,0.0
201900000089,138 306 374,0,0,9,14,0,0.0
201900000090,138 306 372,0,2,3,1,1,0.0
201900000090,138 306 373,0,2,3,13,1,0.0
201900000091,138 306 371,13,0,9,1,1,0.0
201900000092,138 306 367,0,2,1,2,1,0.0
201900000092,138 306 368,0,2,1,2,1,0.0
201900000092,138 306 369,0,2,4,2,1,0.0
201900000092,138 306 370,0,2,1,2,1,0.0
201900000093,138 306 365,0,2,1,2,1,0.0
201900000093,138 306 366,0,2,4,2,1,0.0
201900000094,138 306 363,0,2,4,2,1,0.0
201900000094,138 306 364,0,2,1,2,1,0.0
201900000095,138 306 361,0,2,1,3,1,0.0
201900000095,138 306 362,0,2,5,12,1,0.0
201900000096,138 306 360,4,0,1,1,1,0.0
201900000097,138 306 359,4,0,1,13,1,0.0
201900000098,138 306 357,0,2,1,0,0,0.0
201900000098,138 306 358,0,2,4,2,1,0.0
201900000099,138 306 355,0,2,1,1,1,0.0
201900000099,138 306 356,0,2,5,12,1,0.0
201900000100,138 306 351,0,2,1,1,1,0.0
201900000100,138 306 352,0,2,4,2,1,0.0
201900000100,138 306 353,0,2,3,1,1,0.0
201900000100,138 306 354,0,2,4,2,1,0.0
201900000101,138 306 349,0,2,6,26,1,0.0
201900000101,138 306 350,0,2,2,12,1,0.0
201900000102,138 306 347,0,2,2,1,5,0.0
201900000102,138 306 348,0,2,1,15,1,0.0
201900000103,138 306 344,1,0,3,26,1,0.0
201900000103,138 306 345,0,2,8,26,1,0.0
201900000103,138 306 346,0,2,8,26,1,0.0
201900000104,138 306 342,0,2,7,1,3,0.0
201900000104,138 306 343,0,-1,8,15,1,0.0
201900000105,138 306 341,0,1,1,0,1,0.0
201900000106,138 306 340,0,1,1,15,1,0.0
201900000107,138 306 338,0,2,2,1,1,0.0
201900000107,138 306 339,0,2,8,11,1,0.0
201900000108,138 306 336,0,2,0,10,1,0.0
201900000108,138 306 337,0,2,0,1,1,0.0
201900000109,138 306 333,0,1,3,1,1,0.0
201900000110,138 306 331,0,2,3,1,1,0.0
201900000110,138 306 332,0,2,1,26,1,0.0
201900000111,138 306 325,0,2,4,1,1,0.0
201900000111,138 306 326,0,2,1,1,6,0.0
201900000112,138 306 324,0,1,1,26,0,0.0
201900000113,138 306 322,0,2,0,0,1,0.0
201900000113,138 306 323,0,2,8,14,5,0.0
201900000114,138 306 321,0,1,2,26,2,0.0
201900000115,138 306 319,0,2,1,17,1,0.0
201900000115,138 306 320,0,2,2,9,1,0.0
201900000116,138 306 318,13,0,0,1,1,0.0
201900000117,138 306 316,0,2,7,15,1,0.0
201900000117,138 306 317,0,2,1,1,1,0.0
201900000118,138 306 314,0,2,1,2,0,0.0
201900000118,138 306 315,0,2,4,2,1,0.0
201900000119,138 306 311,0,9,2,1,1,0.0
201900000119,138 306 312,0,2,3,19,5,0.0
201900000120,138 306 310,0,1,1,1,1,0.0
201900000121,138 306 307,0,1,8,2,1,0.0
201900000122,138 306 305,0,2,1,1,1,0.0
201900000122,138 306 306,0,2,5,15,1,0.0
201900000123,138 306 303,0,2,1,5,1,0.0
201900000123,138 306 304,0,2,1,1,1,0.0
201900000124,138 306 297,0,1,3,16,1,0.0
201900000125,138 306 295,0,2,1,1,1,0.0
201900000125,138 306 296,0,2,2,15,1,0.0
201900000126,138 306 293,0,2,1,1,1,0.0
201900000126,138 306 294,0,2,1,15,1,0.0
