Accident ID,road category,traffic regime,total number of traffic lanes,existence of reserved lanes,plan layout,surface condition,development - infrastructure,situation of the accident,maximum authorized speed at the scene and at the time of the accident
2.019E+11,3,4,3,0,1,1,0,1,50
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,4,3,4,0,1,1,0,1,50
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,4,3,2,0,1,1,0,1,50
2.019E+11,4,1,2,0,1,1,0,1,50
2.019E+11,3,2,1,0,1,1,0,1,50
2.019E+11,9,1,1,3,3,1,9,3,30
2.019E+11,3,2,2,0,1,1,5,3,80
2.019E+11,3,1,2,0,1,1,0,1,50
2.019E+11,4,2,2,0,1,1,5,1,50
2.019E+11,4,3,4,2,3,1,5,1,50
2.019E+11,7,2,2,0,1,1,0,1,50
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,9,2,1,0,1,1,0,1,50
2.019E+11,3,2,2,0,1,1,0,1,50
2.019E+11,4,2,2,0,1,1,2,1,50
2.019E+11,4,2,2,1,2,1,0,1,50
2.019E+11,4,2,3,0,1,1,0,1,50
2.019E+11,4,2,2,1,1,1,0,1,50
2.019E+11,4,3,1,0,1,1,0,1,50
2.019E+11,4,2,2,0,1,1,0,1,30
2.019E+11,4,2,3,3,1,1,0,1,50
2.019E+11,3,2,2,0,3,1,0,1,80
2.019E+11,3,2,2,0,1,1,0,1,70
2.019E+11,3,1,1,0,2,1,0,1,50
2.019E+11,3,2,2,0,1,1,5,1,70
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,2,0,1,1,0,4,50
2.019E+11,3,2,2,0,1,1,0,1,30
2.019E+11,3,2,2,0,2,1,0,1,80
2.019E+11,9,2,2,0,1,1,8,1,50
2.019E+11,3,2,2,0,1,1,0,3,80
2.019E+11,6,,2,0,1,1,9,8,20
2.019E+11,3,2,2,0,1,7,0,1,
2.019E+11,3,2,2,0,1,1,9,1,80
2.019E+11,2,2,2,0,1,1,0,1,80
2.019E+11,3,4,2,0,1,1,0,1,50
2.019E+11,3,2,2,0,2,1,0,1,80
2.019E+11,3,2,2,0,2,1,0,1,80
2.019E+11,4,2,2,0,2,1,0,8,80
2.019E+11,3,2,2,0,2,1,2,3,80
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,2,0,1,1,2,4,80
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,2,2,2,0,1,1,0,1,70
2.019E+11,3,2,2,0,2,1,5,1,80
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,3,2,2,0,2,1,0,3,80
2.019E+11,3,2,3,0,1,1,0,1,80
2.019E+11,4,2,2,0,1,1,0,3,80
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,2,0,2,1,0,3,70
2.019E+11,3,2,2,0,1,1,0,1,70
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,1,0,1,1,0,1,80
2.019E+11,3,2,2,0,3,1,0,1,50
2.019E+11,3,2,2,0,1,1,0,1,70
2.019E+11,3,2,2,0,2,1,0,3,80
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,3,2,2,0,3,1,0,1,70
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,2,2,2,0,1,1,0,1,70
2.019E+11,1,1,2,0,1,1,0,2,110
2.019E+11,2,3,4,1,1,1,2,5,70
2.019E+11,1,1,4,3,1,1,0,1,130
2.019E+11,1,1,4,0,1,1,0,1,130
2.019E+11,1,1,4,0,1,1,0,1,90
2.019E+11,3,2,3,0,1,1,5,1,50
2.019E+11,4,1,1,0,1,1,9,1,50
2.019E+11,4,2,2,0,2,1,0,3,80
2.019E+11,1,3,4,0,1,1,0,1,
2.019E+11,1,3,4,0,1,1,0,1,130
2.019E+11,1,3,4,0,1,1,0,3,130
2.019E+11,2,2,2,0,1,1,0,1,70
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,1,1,1,0,2,1,3,2,30
2.019E+11,3,2,2,0,1,1,2,1,70
2.019E+11,1,2,3,0,1,1,0,2,130
2.019E+11,1,3,2,0,1,1,0,3,130
2.019E+11,1,1,1,0,3,1,3,1,50
2.019E+11,1,3,3,0,3,1,3,1,90
2.019E+11,2,2,2,0,2,1,0,8,50
2.019E+11,2,2,2,0,1,2,0,1,90
2.019E+11,6,2,2,0,1,1,0,3,50
2.019E+11,3,2,2,0,1,1,2,1,
2.019E+11,2,2,2,0,2,1,0,1,70
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,2,0,1,1,5,1,50
2.019E+11,3,2,2,0,3,1,5,1,50
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,4,2,2,0,3,1,0,1,30
2.019E+11,3,2,2,0,1,1,9,1,50
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,2,2,2,0,1,1,0,1,70
2.019E+11,3,2,2,0,1,1,0,1,70
2.019E+11,4,,2,0,1,9,0,3,80
2.019E+11,3,2,2,0,1,1,0,3,80
2.019E+11,3,2,2,0,2,1,5,1,80
2.019E+11,4,2,2,0,1,1,5,1,50
2.019E+11,4,1,1,0,1,1,5,1,50
2.019E+11,6,,,0,4,1,9,8,50
2.019E+11,2,2,2,0,2,1,9,1,70
2.019E+11,3,2,2,0,1,1,0,1,50
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,2,0,2,1,0,3,80
2.019E+11,4,2,2,0,1,2,0,1,50
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,1,3,2,0,1,2,3,1,70
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,2,0,1,1,9,1,50
