,Accident ID,road category,traffic regime,total number of traffic lanes,existence of reserved lanes,plan layout,surface condition,development - infrastructure,situation of the accident,maximum authorized speed at the scene and at the time of the accident
73,201900000074,4.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,50.0
74,201900000075,4.0,,2.0,0.0,2.0,2.0,0.0,1.0,30.0
75,201900000076,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
76,201900000077,3.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,80.0
77,201900000078,4.0,2.0,6.0,3.0,1.0,1.0,0.0,1.0,50.0
78,201900000079,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
79,201900000080,6.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,30.0
80,201900000081,3.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,80.0
81,201900000082,3.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,80.0
82,201900000083,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
83,201900000084,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
84,201900000085,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,50.0
85,201900000086,3.0,2.0,2.0,0.0,3.0,1.0,0.0,1.0,50.0
86,201900000087,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,50.0
87,201900000088,3.0,2.0,2.0,0.0,3.0,1.0,0.0,3.0,80.0
88,201900000089,3.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,80.0
89,201900000090,3.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,80.0
90,201900000091,3.0,2.0,2.0,0.0,3.0,1.0,0.0,3.0,80.0
91,201900000092,2.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
92,201900000093,1.0,1.0,8.0,0.0,1.0,1.0,0.0,1.0,70.0
93,201900000094,2.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,90.0
94,201900000095,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,90.0
95,201900000096,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,50.0
96,201900000097,1.0,3.0,8.0,0.0,1.0,1.0,0.0,1.0,110.0
97,201900000098,1.0,3.0,10.0,0.0,1.0,1.0,2.0,1.0,90.0
98,201900000099,1.0,3.0,6.0,0.0,1.0,1.0,0.0,1.0,110.0
99,201900000100,1.0,3.0,9.0,0.0,1.0,1.0,1.0,1.0,90.0
100,201900000101,1.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,90.0
101,201900000102,4.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,50.0
102,201900000103,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
103,201900000104,7.0,2.0,4.0,0.0,1.0,1.0,9.0,1.0,50.0
104,201900000105,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
105,201900000106,7.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
106,201900000107,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
107,201900000108,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
108,201900000109,4.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,50.0
109,201900000110,4.0,1.0,1.0,0.0,1.0,1.0,5.0,2.0,50.0
110,201900000111,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
111,201900000112,4.0,,2.0,0.0,1.0,1.0,0.0,1.0,50.0
112,201900000113,4.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,50.0
113,201900000114,6.0,,1.0,0.0,2.0,1.0,1.0,1.0,30.0
114,201900000115,4.0,,2.0,0.0,1.0,1.0,0.0,1.0,50.0
115,201900000116,4.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,50.0
116,201900000117,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
117,201900000118,4.0,1.0,1.0,0.0,1.0,1.0,9.0,1.0,50.0
118,201900000119,3.0,,2.0,0.0,1.0,1.0,0.0,1.0,50.0
119,201900000120,2.0,,2.0,0.0,1.0,1.0,0.0,1.0,50.0
120,201900000121,4.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,50.0
121,201900000122,2.0,2.0,5.0,0.0,1.0,1.0,0.0,1.0,50.0
122,201900000123,4.0,1.0,1.0,0.0,4.0,1.0,3.0,1.0,50.0
123,201900000124,4.0,2.0,2.0,0.0,1.0,1.0,5.0,1.0,50.0
124,201900000125,3.0,4.0,4.0,0.0,1.0,1.0,5.0,1.0,50.0
125,201900000126,3.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,50.0
126,201900000127,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
127,201900000128,4.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,50.0
128,201900000129,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
129,201900000130,4.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
130,201900000131,4.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
131,201900000132,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,50.0
132,201900000133,9.0,1.0,1.0,3.0,3.0,1.0,9.0,3.0,30.0
133,201900000134,3.0,2.0,2.0,0.0,1.0,1.0,5.0,3.0,80.0
134,201900000135,3.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
135,201900000136,4.0,2.0,2.0,0.0,1.0,1.0,5.0,1.0,50.0
136,201900000137,4.0,3.0,4.0,2.0,3.0,1.0,5.0,1.0,50.0
137,201900000138,7.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
138,201900000139,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
139,201900000140,9.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,50.0
140,201900000141,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
141,201900000142,4.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,50.0
142,201900000143,4.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,50.0
143,201900000144,4.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,50.0
144,201900000145,4.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,50.0
145,201900000146,4.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,50.0
146,201900000147,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,30.0
147,201900000148,4.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,50.0
148,201900000149,3.0,2.0,2.0,0.0,3.0,1.0,0.0,1.0,80.0
149,201900000150,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,70.0
150,201900000151,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,50.0
151,201900000152,3.0,2.0,2.0,0.0,1.0,1.0,5.0,1.0,70.0
152,201900000153,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
153,201900000154,3.0,2.0,2.0,0.0,1.0,1.0,0.0,4.0,50.0
154,201900000155,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,30.0
155,201900000156,3.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,80.0
156,201900000157,9.0,2.0,2.0,0.0,1.0,1.0,8.0,1.0,50.0
